interval_minutes,interval_label,horizon_bars,horizon_hours,mean_abs_corr_mean,median_abs_corr_mean,max_abs_corr_mean,top5_mean_abs_corr_mean,top10_mean_abs_corr_mean,features_abs_corr_gt_001_mean,features_abs_corr_gt_002_mean,features_abs_corr_gt_005_mean,n_symbols,n_rows_mean,n_features_mean
30,30m,1,0.5,0.015047113045037535,0.01350883748577148,0.0622052258523389,0.03977966427322351,0.032855819185459725,29.4,14.0,1.2,5,45073.0,54.0
30,30m,3,1.5,0.019879561462378147,0.01817467846922343,0.06606102514983929,0.04585723673148443,0.03950686746284708,36.4,21.8,2.6,5,45073.0,54.0
30,30m,5,2.5,0.02049592539699286,0.019326308774090372,0.06114778752076226,0.045371160819331936,0.039816688417453804,36.0,21.6,4.0,5,45073.0,54.0
30,30m,10,5.0,0.021416990398751685,0.020107003404423,0.05362533347021235,0.04481099008178211,0.03995321593165688,37.6,22.6,4.8,5,45073.0,54.0
30,30m,24,12.0,0.02296514239880688,0.022290403807775753,0.05928031027148502,0.04996655950276777,0.043541879576857935,40.0,23.4,5.0,5,45073.0,54.0
60,60m,1,1.0,0.019084928717314507,0.01598383072889622,0.056796717222050375,0.044200634414860454,0.03872816892295445,34.2,22.4,2.0,5,22537.0,54.0
60,60m,3,3.0,0.02099922358189201,0.019833502907919964,0.04933155732125223,0.04294676312402294,0.03841807688347229,39.8,23.4,3.4,5,22537.0,54.0
60,60m,5,5.0,0.020943651929252682,0.020011984176223352,0.04912411872298298,0.04268139347551979,0.03875125604741534,37.0,23.2,3.8,5,22537.0,54.0
60,60m,10,10.0,0.021809224312261895,0.0214812228968143,0.05775900535101147,0.04757942873722853,0.04156132465490579,38.6,22.8,4.0,5,22537.0,54.0
60,60m,24,24.0,0.027848375765442253,0.026284912924762045,0.07143632690588232,0.06124057017483574,0.05418686955651779,45.0,31.6,7.8,5,22537.0,54.0
240,240m,1,4.0,0.020349901628636747,0.018741761721487126,0.04739749221463774,0.04145939745251274,0.037405523657167136,38.4,21.4,3.4,5,5635.0,54.0
240,240m,3,12.0,0.02410437257669752,0.022881479983212317,0.06805679123977193,0.05384292058577302,0.047575670622574895,39.2,24.0,6.6,5,5635.0,54.0
240,240m,5,20.0,0.02750855515116099,0.025956049355750854,0.07490235442044627,0.0609044126815097,0.053988939962341595,43.6,31.8,7.6,5,5635.0,54.0
240,240m,10,40.0,0.02613018908962227,0.023957259856839302,0.07341888306212935,0.06184624839081206,0.054060791578149824,41.0,30.2,5.0,5,5635.0,54.0
240,240m,24,96.0,0.025742331030274963,0.02101876661607676,0.0889178948881004,0.06851777764130168,0.059467166678111846,39.0,27.4,5.6,5,5635.0,54.0
