z_window,hie_attribution_category,n_features,n_selected_in_hybrid,median_corr_raw_rank,median_stability_count
24,corr_ranked_but_removed_by_pruning,2,0,40.5,2.0
24,not_in_corr_pruned_raw_rank_available,7,5,37.0,2.0
48,corr_ranked_but_removed_by_pruning,1,0,41.0,2.0
48,not_in_corr_pruned_raw_rank_available,10,5,31.5,2.0
72,corr_ranked_but_removed_by_pruning,1,1,23.0,2.0
72,not_in_corr_pruned_raw_rank_available,8,4,29.5,2.0
72,shared_with_corr_pruned,2,1,10.0,2.0
96,corr_ranked_but_removed_by_pruning,1,0,28.0,3.0
96,not_in_corr_pruned_raw_rank_available,8,5,25.0,2.0
96,shared_with_corr_pruned,1,0,10.0,2.0
