feature,source,phase,decision,reason,max_abs_corr_with_selected,most_correlated_selected_feature,scenario,z_window
ret_accel_6_24_z,corr_core,corr_core,selected,first_feature,,,hybrid_top10_corr5_hie5_alpha0p5,24
volatility_72_sqrt_z,corr_core,corr_core,selected,below_threshold,0.031382237867643166,ret_accel_6_24_z,hybrid_top10_corr5_hie5_alpha0p5,24
vol_ratio_168_log1p_z,corr_core,corr_core,selected,below_threshold,0.09068117970059808,volatility_72_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,24
range_sqrt_z,corr_core,corr_core,selected,below_threshold,0.7730660724124188,vol_ratio_168_log1p_z,hybrid_top10_corr5_hie5_alpha0p5,24
MOM_pct_72_z,corr_core,corr_core,selected,below_threshold,0.23477041932375226,ret_accel_6_24_z,hybrid_top10_corr5_hie5_alpha0p5,24
ADX_30_scaled,hie_incremental,hie_incremental_priority,selected,below_threshold,0.30509995372144194,volatility_72_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,24
dist_to_high_24_sqrt_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.3378209859250203,MOM_pct_72_z,hybrid_top10_corr5_hie5_alpha0p5,24
price_pos_in_range_72_norm,hie_incremental,hie_incremental_priority,selected,below_threshold,0.5011425645264469,MOM_pct_72_z,hybrid_top10_corr5_hie5_alpha0p5,24
ema_spread_100_200_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.6955322428154284,price_pos_in_range_72_norm,hybrid_top10_corr5_hie5_alpha0p5,24
RSI_72_bounded,hie_incremental,hie_incremental_priority,selected,below_threshold,0.7849029690119769,price_pos_in_range_72_norm,hybrid_top10_corr5_hie5_alpha0p5,24
range_sqrt_z,corr_core,corr_core,selected,first_feature,,,hybrid_top10_corr5_hie5_alpha0p5,48
vol_ratio_72_log1p_z,corr_core,corr_core,selected,below_threshold,0.7316930801029897,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,48
MACD_hist_pct_z,corr_core,corr_core,selected,below_threshold,0.013620555506939032,vol_ratio_72_log1p_z,hybrid_top10_corr5_hie5_alpha0p5,48
dist_to_low_24_sqrt_z,corr_core,corr_core,selected,below_threshold,0.5834935896877567,MACD_hist_pct_z,hybrid_top10_corr5_hie5_alpha0p5,48
MOM_pct_14_z,corr_core,corr_core,selected,below_threshold,0.7845329375734497,MACD_hist_pct_z,hybrid_top10_corr5_hie5_alpha0p5,48
ADX_30_scaled,hie_incremental,hie_incremental_priority,selected,below_threshold,0.12153618731912494,dist_to_low_24_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,48
bb_width_20_sqrt_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.4086671851462523,dist_to_low_24_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,48
RSI_72_bounded,hie_incremental,hie_incremental_priority,selected,below_threshold,0.15869920749638802,MOM_pct_14_z,hybrid_top10_corr5_hie5_alpha0p5,48
ret_accel_72_168_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.12460731992528848,MACD_hist_pct_z,hybrid_top10_corr5_hie5_alpha0p5,48
ema_spread_50_100_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.3790001030605067,RSI_72_bounded,hybrid_top10_corr5_hie5_alpha0p5,48
range_sqrt_z,corr_core,corr_core,selected,first_feature,,,hybrid_top10_corr5_hie5_alpha0p5,72
vol_ratio_72_log1p_z,corr_core,corr_core,selected,below_threshold,0.7123694960778235,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,72
dist_to_high_168_sqrt_z,corr_core,corr_core,selected,below_threshold,0.057042420386208784,vol_ratio_72_log1p_z,hybrid_top10_corr5_hie5_alpha0p5,72
body_sqrt_z,corr_core,corr_core,selected,below_threshold,0.6941713601873714,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,72
bb_width_20_sqrt_z,corr_core,corr_core,selected,below_threshold,0.34037473051102235,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,72
ema_spread_100_200_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.5413589934983823,dist_to_high_168_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,72
ret_accel_72_168_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.13341247252941915,ema_spread_100_200_z,hybrid_top10_corr5_hie5_alpha0p5,72
volatility_168_sqrt_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.18372993368023427,bb_width_20_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,72
log_ret_72_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.5961345323272198,dist_to_high_168_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,72
ema_slope_100_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.776829088812138,log_ret_72_z,hybrid_top10_corr5_hie5_alpha0p5,72
range_sqrt_z,corr_core,corr_core,selected,first_feature,,,hybrid_top10_corr5_hie5_alpha0p5,96
vol_ratio_24_log1p_z,corr_core,corr_core,selected,below_threshold,0.6334868173489224,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,96
vol_expansion_24_log1p_z,corr_core,corr_core,selected,below_threshold,0.8451652685274527,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,96
body_sqrt_z,corr_core,corr_core,selected,below_threshold,0.6964217270578118,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,96
vol_ratio_168_log1p_z,corr_core,corr_core,selected,below_threshold,0.8220665067233828,vol_ratio_24_log1p_z,hybrid_top10_corr5_hie5_alpha0p5,96
MOM_pct_72_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.06549629571985234,vol_ratio_168_log1p_z,hybrid_top10_corr5_hie5_alpha0p5,96
log_ret_72_z,hie_incremental,hie_incremental_priority,dropped,too_correlated,0.9997872669057498,MOM_pct_72_z,hybrid_top10_corr5_hie5_alpha0p5,96
volatility_168_sqrt_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.13443671867600898,range_sqrt_z,hybrid_top10_corr5_hie5_alpha0p5,96
ret_accel_24_72_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.7073392887024303,MOM_pct_72_z,hybrid_top10_corr5_hie5_alpha0p5,96
ret_accel_72_168_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.42224977332905606,MOM_pct_72_z,hybrid_top10_corr5_hie5_alpha0p5,96
ema_spread_100_200_z,hie_incremental,hie_incremental_priority,selected,below_threshold,0.5183214904243829,ret_accel_24_72_z,hybrid_top10_corr5_hie5_alpha0p5,96
