z_window,sample,n_rows,n_symbols,min_timestamp,max_timestamp,phases,contains_val_or_test
24,full_train,28370,5,2021-11-28 08:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
24,early_train,9460,5,2021-11-28 08:00:00+00:00,2022-10-09 12:00:00+00:00,train,False
24,mid_train,9455,5,2022-10-09 16:00:00+00:00,2023-08-20 16:00:00+00:00,train,False
24,late_train,9455,5,2023-08-20 20:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
48,full_train,28250,5,2021-12-02 08:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
48,early_train,9420,5,2021-12-02 08:00:00+00:00,2022-10-12 04:00:00+00:00,train,False
48,mid_train,9415,5,2022-10-12 08:00:00+00:00,2023-08-22 00:00:00+00:00,train,False
48,late_train,9415,5,2023-08-22 04:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
72,full_train,28130,5,2021-12-06 08:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
72,early_train,9380,5,2021-12-06 08:00:00+00:00,2022-10-14 20:00:00+00:00,train,False
72,mid_train,9375,5,2022-10-15 00:00:00+00:00,2023-08-23 08:00:00+00:00,train,False
72,late_train,9375,5,2023-08-23 12:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
96,full_train,28010,5,2021-12-10 08:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
96,early_train,9340,5,2021-12-10 08:00:00+00:00,2022-10-17 12:00:00+00:00,train,False
96,mid_train,9335,5,2022-10-17 16:00:00+00:00,2023-08-24 16:00:00+00:00,train,False
96,late_train,9335,5,2023-08-24 20:00:00+00:00,2024-06-30 20:00:00+00:00,train,False
